"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
335, 5.018085742561015e+00, -1.002524491509350e+02, -6.164510086921771e-01, -1.232902017384354e+00, 4.729895790685892e-06, -4.771093697266257e-07, 0.000000000000000e+00
336, 5.642819243674360e+00, -1.003194344739996e+02, -6.148302550012812e-01, -1.229660510002562e+00, 4.560684857871702e-06, -5.180118222861743e-07, 0.000000000000000e+00
337, 6.266661678215494e+00, -1.003942649342762e+02, -6.172920298711320e-01, -1.234584059742264e+00, 4.462705772580591e-06, -5.637708464380405e-07, 0.000000000000000e+00
338, 6.889514534232188e+00, -1.004769287151675e+02, -6.253777013977406e-01, -1.250755402795481e+00, 4.551062437948442e-06, -6.331313870277476e-07, 0.000000000000000e+00
339, 7.511279456038143e+00, -1.005674127631043e+02, -6.193717758975251e-01, -1.238743551795050e+00, 4.482671546781082e-06, -6.811417443344909e-07, 0.000000000000000e+00
340, 8.131858259744474e+00, -1.006657027896067e+02, -6.063967753451552e-01, -1.212793550690310e+00, 4.335945339811122e-06, -7.147014332640616e-07, 0.000000000000000e+00
341, 8.751152948764101e+00, -1.007717832735398e+02, -5.977693327536009e-01, -1.195538665507202e+00, 4.162379758328665e-06, -7.399338086603346e-07, 0.000000000000000e+00
342, 9.369065729286536e+00, -1.008856374635656e+02, -5.942272447280976e-01, -1.188454489456195e+00, 4.063383213416705e-06, -7.751318034829253e-07, 0.000000000000000e+00
343, 9.985499025720660e+00, -1.010072473807877e+02, -5.891204740972747e-01, -1.178240948194549e+00, 3.859905660883692e-06, -7.867099143356699e-07, 0.000000000000000e+00
344, 1.060035549610304e+01, -1.011365938215904e+02, -5.844347621414521e-01, -1.168869524282904e+00, 3.605153467275146e-06, -7.820966928010570e-07, 0.000000000000000e+00
345, 1.121353804746938e+01, -1.012736563606712e+02, -5.803482263647013e-01, -1.160696452729403e+00, 3.520859252003115e-06, -8.102657871142210e-07, 0.000000000000000e+00
346, 1.182494985118656e+01, -1.014184133542664e+02, -5.726909191230458e-01, -1.145381838246092e+00, 3.513336040654319e-06, -8.551598529306207e-07, 0.000000000000000e+00
347, 1.243449435824306e+01, -1.015708419435685e+02, -5.607494189635873e-01, -1.121498837927175e+00, 3.407270627799917e-06, -8.748384051817402e-07, 0.000000000000000e+00
348, 1.304207531449518e+01, -1.017309180583364e+02, -5.514631505268488e-01, -1.102926301053698e+00, 3.192463438231721e-06, -8.625883676534305e-07, 0.000000000000000e+00
349, 1.364759677586659e+01, -1.018986164206958e+02, -5.430386084555190e-01, -1.086077216911038e+00, 2.974210085718073e-06, -8.438597178743546e-07, 0.000000000000000e+00
350, 1.425096312349914e+01, -1.020739105491313e+02, -5.340037266929635e-01, -1.068007453385927e+00, 2.763338903525058e-06, -8.216869196524949e-07, 0.000000000000000e+00
351, 1.485207907885209e+01, -1.022567727626680e+02, -5.247241823825318e-01, -1.049448364765064e+00, 2.608979138370164e-06, -8.116075665670381e-07, 0.000000000000000e+00
352, 1.545084971874772e+01, -1.024471741852424e+02, -5.124721140437356e-01, -1.024944228087471e+00, 2.409547031492459e-06, -7.829092895313643e-07, 0.000000000000000e+00
353, 1.604718049036082e+01, -1.026450847502629e+02, -5.006114550059579e-01, -1.001222910011916e+00, 2.145117868851169e-06, -7.269170144855185e-07, 0.000000000000000e+00
354, 1.664097722614968e+01, -1.028504732053569e+02, -4.890198732768686e-01, -9.780397465537373e-01, 1.948069725439318e-06, -6.875526890690176e-07, 0.000000000000000e+00
355, 1.723214615872621e+01, -1.030633071173064e+02, -4.757590262861543e-01, -9.515180525723086e-01, 1.757086064844102e-06, -6.450894177510121e-07, 0.000000000000000e+00
356, 1.782059393566289e+01, -1.032835528771696e+02, -4.636849349324721e-01, -9.273698698649442e-01, 1.513460693806325e-06, -5.773291875342292e-07, 0.000000000000000e+00
